,Unnamed: 0,ID урока,Дата старта урока,Текст сообщения,Дата сообщения,Разметка,len_text,Время от начала урока,Вежливость,Технические проблемы,Хорошее объяснение материала,Плохое объяснение материала и сложность,Помощь и понимание,Реклама и спам,Оскорбления и конфликты,Опоздание
15,15,321813.0,2024-03-02 12:56:26,да сеня тот же вопрос,2024-03-02 13:00:12,,21,3.7666666666666666,0,0,1,0,0,0,0,0
16,16,321813.0,2024-03-02 12:56:26,"Аня, ку",2024-03-02 13:01:00,,7,4.566666666666666,0,0,0,1,0,0,0,0
17,17,321813.0,2024-03-02 12:56:26,здарова,2024-03-02 13:01:09,,7,4.716666666666667,0,0,0,0,0,0,0,1
18,18,321813.0,2024-03-02 12:56:26,привет,2024-03-02 13:01:11,,6,4.75,1,0,0,0,0,0,0,0
19,19,321813.0,2024-03-02 12:56:26,Андрюха не придет,2024-03-02 13:01:32,,17,5.1,0,0,0,0,0,0,0,1
20,20,321813.0,2024-03-02 12:56:26,Саня опоздает,2024-03-02 13:01:36,,13,5.166666666666667,0,0,0,0,0,0,0,1
21,21,321813.0,2024-03-02 12:56:26,Саши тож не юудет,2024-03-02 13:01:54,,17,5.466666666666667,0,1,0,0,0,0,0,0
22,22,321813.0,2024-03-02 12:56:26,будет,2024-03-02 13:02:05,,5,5.65,0,0,0,1,0,0,0,0
23,23,321813.0,2024-03-02 12:56:26,почему,2024-03-02 13:02:20,,6,5.9,0,0,0,1,0,0,0,0
24,24,321813.0,2024-03-02 12:56:26,"он писал, что уехал по делам и просто не успевает вовремя на занятие",2024-03-02 13:02:35,,68,6.15,0,0,0,0,0,0,0,1
25,25,321813.0,2024-03-02 12:56:26,а чё ты у меня спрашиваешь у него спроси,2024-03-02 13:03:08,,40,6.7,0,0,0,1,0,0,0,0
26,26,321813.0,2024-03-02 12:56:26,меклис привет,2024-03-02 13:03:19,,13,6.883333333333334,1,0,0,0,0,0,0,0
27,27,321813.0,2024-03-02 12:56:26,ну типо ты сказала что его не будет,2024-03-02 13:03:23,,35,6.95,0,0,0,0,0,0,0,1
28,28,321813.0,2024-03-02 12:56:26,"Меклис, ку",2024-03-02 13:03:28,,10,7.033333333333333,0,1,0,0,0,0,0,0
29,29,321813.0,2024-03-02 12:56:26,саша сказал то что его не будет,2024-03-02 13:04:39,,31,8.216666666666667,0,0,0,0,0,0,0,1
30,30,321813.0,2024-03-02 12:56:26,не факт,2024-03-02 13:05:02,,7,8.6,0,0,0,1,0,0,0,0
31,31,321813.0,2024-03-02 12:56:26,Президент,2024-03-02 13:10:07,,9,13.683333333333334,0,0,0,0,0,0,0,1
32,32,321813.0,2024-03-02 12:56:26,должны быть,2024-03-02 13:11:38,,11,15.2,0,0,0,1,0,0,0,0
33,33,321813.0,2024-03-02 12:56:26,"блин, уже 29 урок",2024-03-02 13:11:40,,17,15.233333333333333,0,0,1,0,0,0,0,0
34,34,321813.0,2024-03-02 12:56:26,скоро мы не будем видиться каждую неделю(,2024-03-02 13:11:51,,41,15.416666666666666,0,0,0,0,0,0,0,1
35,35,321813.0,2024-03-02 12:56:26,ага,2024-03-02 13:11:59,,3,15.55,0,0,0,1,0,0,0,0
36,36,321813.0,2024-03-02 12:56:26,даа,2024-03-02 13:12:04,,3,15.633333333333333,0,0,0,1,0,0,0,0
37,37,321813.0,2024-03-02 12:56:26,3 недели осталось,2024-03-02 13:12:19,,17,15.883333333333333,0,0,0,0,0,0,0,1
38,38,321813.0,2024-03-02 12:56:26,у меня не пустл,2024-03-02 13:13:20,,15,16.9,0,0,0,1,0,0,0,0
39,39,321813.0,2024-03-02 12:56:26,"о ема, у меня за эту четверть лишь 3 тройки",2024-03-02 13:13:41,,43,17.25,0,1,0,0,0,0,0,0
40,40,321813.0,2024-03-02 12:56:26,у меня там и заполнены только вопросы,2024-03-02 13:13:41,,37,17.25,0,0,0,1,0,0,0,0
41,41,321813.0,2024-03-02 12:56:26,надо ссылку на приложение скинуть?,2024-03-02 13:21:13,,34,24.78333333333333,0,0,0,1,0,0,0,0
42,42,321813.0,2024-03-02 12:56:26,of,2024-03-02 13:21:18,,2,24.866666666666667,0,0,0,1,0,0,0,0
43,43,321813.0,2024-03-02 12:56:26,ща,2024-03-02 13:21:20,,2,24.9,1,0,0,0,0,0,0,0
44,44,321813.0,2024-03-02 12:56:26,где мы его будем делать,2024-03-02 13:22:36,,23,26.166666666666668,0,0,0,1,0,0,0,0
45,45,321813.0,2024-03-02 12:56:26,можно отойти на 2 минутки?,2024-03-02 13:23:56,,26,27.5,0,0,0,0,0,0,0,1
46,46,321813.0,2024-03-02 12:56:26,ладно,2024-03-02 13:24:15,,5,27.816666666666663,0,0,1,0,0,0,0,0
47,47,321813.0,2024-03-02 12:56:26,конкурентов по нашей теме?,2024-03-02 13:25:00,,26,28.566666666666663,0,0,0,1,0,0,0,0
48,48,321813.0,2024-03-02 12:56:26,ок,2024-03-02 13:25:11,,2,28.75,0,0,1,0,0,0,0,0
49,49,321813.0,2024-03-02 12:56:26,я не могу таблицу редактировать,2024-03-02 13:25:52,,31,29.433333333333334,0,0,0,1,0,0,0,0
50,50,321813.0,2024-03-02 12:56:26,у меня меня не нажимается что юы пимсать,2024-03-02 13:26:04,,40,29.633333333333333,0,1,0,0,0,0,0,0
51,51,321813.0,2024-03-02 12:56:26,"все, спасибо",2024-03-02 13:27:19,,12,30.883333333333333,0,0,0,0,1,0,0,0
52,52,321813.0,2024-03-02 12:56:26,а я случайно отравила запрос на редактировпание,2024-03-02 13:27:53,,47,31.45,0,0,0,0,1,0,0,0
53,53,321813.0,2024-03-02 12:56:26,а как скачать,2024-03-02 13:28:53,,13,32.45,0,0,1,0,0,0,0,0
54,54,321813.0,2024-03-02 12:56:26,спасибо,2024-03-02 13:29:33,,7,33.11666666666667,0,0,0,0,1,0,0,0
55,55,321813.0,2024-03-02 12:56:26,да,2024-03-02 13:29:36,,2,33.166666666666664,0,0,0,1,0,0,0,0
56,56,321813.0,2024-03-02 12:56:26,первый готов,2024-03-02 13:39:25,,12,42.98333333333333,0,0,1,0,0,0,0,0
57,57,321813.0,2024-03-02 12:56:26,могу,2024-03-02 13:39:38,,4,43.2,0,0,0,1,0,0,0,0
58,58,321813.0,2024-03-02 12:56:26,нашего,2024-03-02 13:40:23,,6,43.95,0,0,0,1,0,0,0,0
59,59,321813.0,2024-03-02 12:56:26,да,2024-03-02 13:40:33,,2,44.11666666666667,0,0,0,1,0,0,0,0
60,60,321813.0,2024-03-02 12:56:26,а перерыв скоро?,2024-03-02 13:44:02,,16,47.6,0,0,0,0,0,0,0,1
61,61,321813.0,2024-03-02 12:56:26,а что все минусы ставят?,2024-03-02 13:44:27,,24,48.016666666666666,0,0,0,1,0,0,0,0
62,62,321813.0,2024-03-02 12:56:26,заказ еды,2024-03-02 13:51:07,,9,54.68333333333333,0,0,1,0,0,0,0,0
63,63,321813.0,2024-03-02 12:56:26,прослушивание музыки,2024-03-02 13:51:23,,20,54.95,0,0,1,0,0,0,0,0
64,64,321813.0,2024-03-02 12:56:26,"Нина, у нас проэкт такой",2024-03-02 13:51:35,,24,55.15,0,0,1,0,0,0,0,0
65,65,321813.0,2024-03-02 12:56:26,продажа одежды,2024-03-02 13:52:02,,14,55.6,0,0,1,0,0,0,0,0
66,66,321813.0,2024-03-02 12:56:26,не,2024-03-02 13:53:13,,2,56.78333333333333,0,0,0,1,0,0,0,0
67,67,321813.0,2024-03-02 12:56:26,ура,2024-03-02 13:53:26,,3,57.0,0,0,0,1,0,0,0,0
68,68,321813.0,2024-03-02 12:56:26,у нас перерыв до 17?,2024-03-02 13:59:44,,20,63.3,0,0,0,0,0,0,0,1
69,69,321813.0,2024-03-02 12:56:26,gjyznyj,2024-03-02 14:00:40,,7,64.23333333333333,0,0,0,1,0,0,0,0
70,70,321813.0,2024-03-02 12:56:26,понятно,2024-03-02 14:00:42,,7,64.26666666666667,0,0,1,0,0,0,0,0
71,71,321813.0,2024-03-02 12:56:26,МоСКвОй?,2024-03-02 14:02:36,,8,66.16666666666667,0,0,0,1,0,0,0,0
72,72,321813.0,2024-03-02 12:56:26,в фигма сделать эти таблицы?,2024-03-02 14:03:36,,28,67.16666666666667,0,0,0,1,0,0,0,0
73,73,321813.0,2024-03-02 12:56:26,"составлять список функций из таблицы, которую мы делали в начале?",2024-03-02 14:04:42,,65,68.26666666666667,0,0,0,1,0,0,0,0
74,74,321813.0,2024-03-02 12:56:26,а,2024-03-02 14:05:32,,1,69.1,0,0,0,1,0,0,0,0
75,75,321813.0,2024-03-02 12:56:26,нормально,2024-03-02 14:25:43,,9,89.28333333333333,0,0,1,0,0,0,0,0
76,76,321813.0,2024-03-02 12:56:26,"но думаю, что пока этого мало",2024-03-02 14:25:54,,29,89.46666666666667,0,0,0,1,0,0,0,0
77,77,321813.0,2024-03-02 12:56:26,тоже,2024-03-02 14:25:55,,4,89.48333333333333,0,0,0,1,0,0,0,0
78,78,321813.0,2024-03-02 12:56:26,красно желтый,2024-03-02 14:27:20,,13,90.9,0,0,0,1,0,0,0,0
79,79,321813.0,2024-03-02 12:56:26,красный,2024-03-02 14:27:20,,7,90.9,0,0,0,0,0,0,1,0
80,80,321813.0,2024-03-02 12:56:26,красно-желтый,2024-03-02 14:27:24,,13,90.96666666666668,0,0,0,1,0,0,0,0
81,81,321814.0,2024-03-09 12:50:28,Здравия желаю,2024-03-09 12:59:48,,13,9.333333333333334,1,0,0,0,0,0,0,0
82,82,321814.0,2024-03-09 12:50:28,Отставить,2024-03-09 13:00:36,,9,10.133333333333333,0,0,0,0,0,0,0,1
83,83,321814.0,2024-03-09 12:50:28,"Сержант, посему не на учениях?",2024-03-09 13:00:52,,30,10.4,0,0,0,0,0,0,0,1
84,84,321814.0,2024-03-09 12:50:28,"Спал, товарищ лейтенант",2024-03-09 13:01:12,,23,10.733333333333333,0,0,0,0,0,1,0,0
85,85,321814.0,2024-03-09 12:50:28,"Какой я вам лейтинант, ты говоришь с начальником роты",2024-03-09 13:01:48,,53,11.333333333333334,0,0,0,1,0,0,0,0
86,86,321814.0,2024-03-09 12:50:28,Марш на учения,2024-03-09 13:02:11,,14,11.716666666666669,0,0,1,0,0,0,0,0
87,87,321814.0,2024-03-09 12:50:28,"извиняюсь, начальник роты",2024-03-09 13:02:14,,25,11.766666666666667,1,0,0,0,0,0,0,0
88,88,321814.0,2024-03-09 12:50:28,стартую,2024-03-09 13:02:21,,7,11.883333333333333,0,0,0,1,0,0,0,0
89,89,321814.0,2024-03-09 12:50:28,Тотоже,2024-03-09 13:02:26,,6,11.966666666666669,0,0,0,1,0,0,0,0
90,90,321814.0,2024-03-09 12:50:28,хахаха,2024-03-09 13:02:40,,6,12.2,0,0,0,1,0,0,0,0
91,91,321814.0,2024-03-09 12:50:28,нормально так-то,2024-03-09 13:02:48,,16,12.333333333333334,0,0,1,0,0,0,0,0
92,92,321814.0,2024-03-09 12:50:28,а где все остальные?,2024-03-09 13:02:52,,20,12.4,0,0,0,1,0,0,0,0
93,93,321814.0,2024-03-09 12:50:28,неизвестно,2024-03-09 13:03:00,,10,12.533333333333331,0,0,0,1,0,0,0,0
94,94,321814.0,2024-03-09 12:50:28,ну 2-их не будет,2024-03-09 13:03:07,,16,12.65,0,0,1,0,0,0,0,0
95,95,321814.0,2024-03-09 12:50:28,"нам не хватает товарища лейтенанта, прапорщика,",2024-03-09 13:03:10,,47,12.7,0,0,0,0,0,0,0,1
96,96,321814.0,2024-03-09 12:50:28,товарища копа,2024-03-09 13:03:21,,13,12.883333333333333,0,0,0,0,0,0,0,1
97,97,321814.0,2024-03-09 12:50:28,окопа?,2024-03-09 13:04:04,,6,13.6,0,0,0,1,0,0,0,0
98,98,321814.0,2024-03-09 12:50:28,коп,2024-03-09 13:04:31,,3,14.05,1,0,0,0,0,0,0,0
99,99,321814.0,2024-03-09 12:50:28,мент,2024-03-09 13:04:33,,4,14.083333333333334,0,0,0,0,0,0,1,0
100,100,321814.0,2024-03-09 12:50:28,"так, по идее 100 проц должны подключиться 2 человека",2024-03-09 13:04:55,,52,14.45,0,0,1,0,0,0,0,0
101,101,321814.0,2024-03-09 12:50:28,Так говорите правильно,2024-03-09 13:04:56,,22,14.466666666666669,0,0,1,0,0,0,0,0
102,102,321814.0,2024-03-09 12:50:28,Товарища мелиционера,2024-03-09 13:05:06,,20,14.633333333333333,0,0,1,0,0,0,0,0
103,103,321814.0,2024-03-09 12:50:28,"ну ладно, товарища копчика",2024-03-09 13:05:09,,26,14.683333333333334,0,0,0,0,0,0,1,0
104,104,321814.0,2024-03-09 12:50:28,милиционера,2024-03-09 13:05:12,,11,14.733333333333333,0,0,0,0,0,0,0,1
105,105,321814.0,2024-03-09 12:50:28,здравьте,2024-03-09 13:05:14,,8,14.766666666666667,0,0,0,0,1,0,0,0
106,106,321814.0,2024-03-09 12:50:28,Зрасте,2024-03-09 13:05:15,,6,14.783333333333331,1,0,0,0,0,0,0,0
107,107,321814.0,2024-03-09 12:50:28,Здрасьте*,2024-03-09 13:05:19,,9,14.85,1,0,0,0,0,0,0,0
108,108,321814.0,2024-03-09 12:50:28,так точно,2024-03-09 13:05:47,,9,15.316666666666666,0,0,1,0,0,0,0,0
109,109,321814.0,2024-03-09 12:50:28,турагенство,2024-03-09 13:05:55,,11,15.45,0,0,1,0,0,0,0,0
110,110,321814.0,2024-03-09 12:50:28,опа,2024-03-09 13:06:14,,3,15.766666666666667,0,0,0,0,0,0,0,1
111,111,321814.0,2024-03-09 12:50:28,афигеть,2024-03-09 13:09:48,,7,19.33333333333333,0,0,0,0,0,0,1,0
112,112,321814.0,2024-03-09 12:50:28,как быстро время пролетело,2024-03-09 13:09:57,,26,19.48333333333333,0,0,0,1,0,0,0,0
113,113,321814.0,2024-03-09 12:50:28,дальше,2024-03-09 13:14:00,,6,23.53333333333333,0,0,0,1,0,0,0,0
114,114,321814.0,2024-03-09 12:50:28,"прототип, варфрейм",2024-03-09 13:22:21,,18,31.883333333333333,0,0,1,0,0,0,0,0
115,115,321814.0,2024-03-09 12:50:28,Арсений дополняет моё приложение),2024-03-09 13:25:25,,33,34.95,0,0,0,1,0,0,0,0
116,116,321814.0,2024-03-09 12:50:28,"ща , у меня там новый номер в тг ,зайду",2024-03-09 13:25:39,,39,35.18333333333333,0,0,0,1,0,0,0,0
117,117,321814.0,2024-03-09 12:50:28,блин,2024-03-09 13:28:25,,4,37.95,0,0,0,0,0,0,1,0
118,118,321814.0,2024-03-09 12:50:28,чет интересное хочу,2024-03-09 13:28:32,,19,38.06666666666667,0,0,0,1,0,0,0,0
119,119,321814.0,2024-03-09 12:50:28,но не могу придумать,2024-03-09 13:28:37,,20,38.15,0,0,0,1,0,0,0,0
120,120,321814.0,2024-03-09 12:50:28,"да, давайте",2024-03-09 13:28:42,,11,38.23333333333333,0,0,0,1,0,0,0,0
121,121,321814.0,2024-03-09 12:50:28,"спасибо большое, я возьму приложение для изучения английскослов",2024-03-09 13:30:25,,63,39.95,0,0,1,0,0,0,0,0
122,122,321814.0,2024-03-09 12:50:28,я тут,2024-03-09 13:44:49,,5,54.35,0,0,0,1,0,0,0,0
123,123,321814.0,2024-03-09 12:50:28,я,2024-03-09 13:44:59,,1,54.516666666666666,0,0,1,0,0,0,0,0
124,124,321814.0,2024-03-09 12:50:28,я примерно так и не писал,2024-03-09 13:46:05,,25,55.61666666666667,0,0,0,1,0,0,0,0
125,125,321814.0,2024-03-09 12:50:28,та и писал*,2024-03-09 13:46:13,,11,55.75,0,0,0,1,0,0,0,0
126,126,321814.0,2024-03-09 12:50:28,здравствуйте у меня получилось зайти,2024-03-09 13:46:24,,36,55.93333333333333,1,0,0,0,0,0,0,0
127,127,321814.0,2024-03-09 12:50:28,давайте секции для ребенка в школе,2024-03-09 13:49:14,,34,58.766666666666666,0,0,0,1,0,0,0,0
128,128,321814.0,2024-03-09 12:50:28,если сейчас не успею потом можно доделать?,2024-03-09 13:51:09,,42,60.68333333333333,0,0,0,1,0,0,0,0
129,129,321814.0,2024-03-09 12:50:28,а окей,2024-03-09 13:51:15,,6,60.78333333333333,1,0,0,0,0,0,0,0
130,130,321814.0,2024-03-09 12:50:28,Мы делаем структуру и прототип?,2024-03-09 14:06:43,,31,76.25,0,0,1,0,0,0,0,0
131,131,321814.0,2024-03-09 12:50:28,И варфрейм?,2024-03-09 14:07:00,,11,76.53333333333333,0,0,0,1,0,0,0,0
132,132,321814.0,2024-03-09 12:50:28,понял,2024-03-09 14:07:25,,5,76.95,0,0,1,0,0,0,0,0
133,133,321814.0,2024-03-09 12:50:28,я тож,2024-03-09 14:27:47,,5,97.31666666666666,0,0,0,1,0,0,0,0
134,134,321814.0,2024-03-09 12:50:28,структуру отправить или прототип?,2024-03-09 14:28:34,,33,98.1,0,0,0,1,0,0,0,0
135,135,321814.0,2024-03-09 12:50:28,сейчас?,2024-03-09 14:28:45,,7,98.28333333333332,0,0,0,1,0,0,0,0
136,136,321814.0,2024-03-09 12:50:28,покаааа,2024-03-09 14:30:15,,7,99.78333333333332,0,0,0,0,0,0,0,1
137,137,321814.0,2024-03-09 12:50:28,до свидания,2024-03-09 14:30:18,,11,99.83333333333331,1,0,0,0,0,0,0,0
138,138,321815.0,2024-03-16 12:53:39,"жесть, уже предпоследний урок",2024-03-16 13:07:12,,29,13.55,0,0,0,0,0,0,1,0
139,139,321815.0,2024-03-16 12:53:39,так быстроо,2024-03-16 13:07:13,,11,13.566666666666666,0,0,0,1,0,0,0,0
140,140,321815.0,2024-03-16 12:53:39,красиво выглядит,2024-03-16 13:14:58,,16,21.316666666666663,0,0,0,1,0,0,0,0
141,141,321815.0,2024-03-16 12:53:39,можно отойти на 2 минуты,2024-03-16 13:22:48,,24,29.15,0,0,0,1,0,0,0,0
142,142,321815.0,2024-03-16 12:53:39,мы щас должны проект дорабатывать получается?,2024-03-16 13:27:45,,45,34.1,0,0,0,1,0,0,0,0
143,143,321815.0,2024-03-16 12:53:39,я пока делаю,2024-03-16 13:39:37,,12,45.96666666666667,0,0,0,0,0,0,0,1
144,144,321815.0,2024-03-16 12:53:39,сразу дизайн,2024-03-16 13:40:21,,12,46.7,0,0,1,0,0,0,0,0
145,145,321815.0,2024-03-16 12:53:39,у меня со временем дальше идеи появляются для варфрейма,2024-03-16 13:40:38,,55,46.98333333333333,0,0,0,1,0,0,0,0
146,146,321815.0,2024-03-16 12:53:39,ну ладно,2024-03-16 13:40:49,,8,47.16666666666666,0,0,1,0,0,0,0,0
147,147,321815.0,2024-03-16 12:53:39,я поверх делала,2024-03-16 13:41:50,,15,48.18333333333333,0,0,0,1,0,0,0,0
148,148,321815.0,2024-03-16 12:53:39,"нормально ты так проделал, Санёк",2024-03-16 13:41:51,,32,48.2,0,0,1,0,0,0,0,0
149,149,321815.0,2024-03-16 12:53:39,можно попозже немножкооо,2024-03-16 13:43:49,,24,50.16666666666666,0,0,0,1,0,0,0,0
150,150,321815.0,2024-03-16 12:53:39,"у меня весь дизайн просто слетел, +несколько варфреймов, а ctrl z не помогает..я долго делала, может есть другие варианты, как можно восстановить ?",2024-03-16 13:55:39,,147,62.0,0,1,0,0,0,0,0,0
151,151,321815.0,2024-03-16 12:53:39,попробуй кнопкой назад,2024-03-16 13:56:29,,22,62.833333333333336,0,0,0,1,0,0,0,0
152,152,321815.0,2024-03-16 12:53:39,не горячими клавишами,2024-03-16 13:56:35,,21,62.93333333333333,0,0,0,0,0,1,0,0
153,153,321815.0,2024-03-16 12:53:39,ну типо вдруг клавиатура отказала,2024-03-16 13:56:47,,33,63.13333333333333,0,0,0,0,0,0,0,1
154,154,321815.0,2024-03-16 12:53:39,видимо на какую-то клавишу нажала,2024-03-16 13:57:02,,33,63.38333333333333,0,0,1,0,0,0,0,0
155,155,321815.0,2024-03-16 12:53:39,я тогда еще раз сделаю,2024-03-16 13:57:13,,22,63.56666666666667,0,0,0,1,0,0,0,0
156,156,321815.0,2024-03-16 12:53:39,"не, не все",2024-03-16 13:57:42,,10,64.05,0,0,0,1,0,0,0,0
157,157,321815.0,2024-03-16 12:53:39,не видно,2024-03-16 14:00:54,,8,67.25,0,0,0,1,0,0,0,0
158,158,321815.0,2024-03-16 12:53:39,вашей демки нету,2024-03-16 14:01:01,,16,67.36666666666666,0,0,0,1,0,0,0,0
159,159,321815.0,2024-03-16 12:53:39,попробуйте перезайти,2024-03-16 14:01:22,,20,67.71666666666667,0,0,0,1,0,0,0,0
160,160,321815.0,2024-03-16 12:53:39,неа,2024-03-16 14:01:37,,3,67.96666666666667,0,0,0,1,0,0,0,0
161,161,321815.0,2024-03-16 12:53:39,перезайдите,2024-03-16 14:01:52,,11,68.21666666666667,0,0,0,1,0,0,0,0
162,162,321815.0,2024-03-16 12:53:39,нет,2024-03-16 14:02:08,,3,68.48333333333333,0,0,0,1,0,0,0,0
163,163,321815.0,2024-03-16 12:53:39,у нас препод выходил на другом курсе,2024-03-16 14:02:33,,36,68.9,0,0,0,1,0,0,0,0
164,164,321815.0,2024-03-16 12:53:39,все найс было,2024-03-16 14:02:36,,13,68.95,0,1,0,0,0,0,0,0
165,165,321815.0,2024-03-16 12:53:39,есть,2024-03-16 14:03:07,,4,69.46666666666667,0,0,0,1,0,0,0,0
166,166,321815.0,2024-03-16 12:53:39,работает,2024-03-16 14:03:08,,8,69.48333333333333,0,0,0,1,0,0,0,0
167,167,321815.0,2024-03-16 12:53:39,продолжать проект?,2024-03-16 14:03:58,,18,70.31666666666666,0,0,0,1,0,0,0,0
168,168,321815.0,2024-03-16 12:53:39,я решил сделать сначала сайт,2024-03-16 14:15:04,,28,81.41666666666667,0,0,0,0,1,0,0,0
169,169,321815.0,2024-03-16 12:53:39,а потом уже для него предложение,2024-03-16 14:15:11,,32,81.53333333333333,0,0,0,0,1,0,0,0
170,170,321815.0,2024-03-16 12:53:39,нет получается,2024-03-16 14:16:44,,14,83.08333333333333,0,0,0,1,0,0,0,0
171,171,321815.0,2024-03-16 12:53:39,можно я не первый и не последний,2024-03-16 14:17:33,,32,83.9,0,0,0,1,0,0,0,0
172,172,321815.0,2024-03-16 12:53:39,сложновато,2024-03-16 14:20:11,,10,86.53333333333333,0,0,0,1,0,0,0,0
173,173,321815.0,2024-03-16 12:53:39,уже щас кончится предпоследнее занятие,2024-03-16 14:22:57,,38,89.3,0,0,1,0,0,0,0,0
174,174,321815.0,2024-03-16 12:53:39,можно я не первый,2024-03-16 14:23:13,,17,89.56666666666666,0,0,0,1,0,0,0,0
175,175,321815.0,2024-03-16 12:53:39,давайте рандомайзер,2024-03-16 14:23:27,,19,89.8,0,0,0,1,0,0,0,0
176,176,321815.0,2024-03-16 12:53:39,рандом страшно,2024-03-16 14:23:31,,14,89.86666666666666,0,0,0,0,0,0,1,0
177,177,321815.0,2024-03-16 12:53:39,ну дааа,2024-03-16 14:23:36,,7,89.95,0,0,1,0,0,0,0,0
178,178,321815.0,2024-03-16 12:53:39,но так интереснее,2024-03-16 14:23:43,,17,90.06666666666666,0,0,0,1,0,0,0,0
179,179,321815.0,2024-03-16 12:53:39,прикиньте Нина первая,2024-03-16 14:24:02,,21,90.38333333333334,0,0,0,0,0,0,0,1
180,180,321815.0,2024-03-16 12:53:39,ааааааа,2024-03-16 14:24:32,,7,90.88333333333334,0,0,1,0,0,0,0,0
181,181,321815.0,2024-03-16 12:53:39,ух,2024-03-16 14:24:32,,2,90.88333333333334,0,0,0,1,0,0,0,0
182,182,321815.0,2024-03-16 12:53:39,поехали,2024-03-16 14:24:34,,7,90.91666666666669,0,0,0,1,0,0,0,0
183,183,321815.0,2024-03-16 12:53:39,найс,2024-03-16 14:24:38,,4,90.98333333333332,0,0,0,0,0,0,1,0
184,184,321815.0,2024-03-16 12:53:39,наайс,2024-03-16 14:24:50,,5,91.18333333333334,0,0,0,1,0,0,0,0
185,185,321815.0,2024-03-16 12:53:39,нааайс,2024-03-16 14:25:00,,6,91.35,0,0,0,0,0,0,1,0
186,186,321815.0,2024-03-16 12:53:39,девочки пока что),2024-03-16 14:25:02,,17,91.38333333333334,1,0,0,0,0,0,0,0
187,187,321815.0,2024-03-16 12:53:39,нааааайс,2024-03-16 14:25:10,,8,91.51666666666668,0,0,0,1,0,0,0,0
188,188,321815.0,2024-03-16 12:53:39,пхавпхпхфахыфавхфы,2024-03-16 14:25:19,,18,91.66666666666669,0,0,0,1,0,0,0,0
189,189,321815.0,2024-03-16 12:53:39,аххах,2024-03-16 14:25:21,,5,91.7,0,0,0,1,0,0,0,0
190,190,321815.0,2024-03-16 12:53:39,иеклис,2024-03-16 14:25:32,,6,91.88333333333334,0,0,0,0,0,0,1,0
191,191,321815.0,2024-03-16 12:53:39,имбаааа,2024-03-16 14:25:39,,7,92.0,0,0,1,0,0,0,0,0
192,192,321815.0,2024-03-16 12:53:39,"все, не страшно",2024-03-16 14:25:42,,15,92.05,0,0,0,1,0,0,0,0
193,193,321815.0,2024-03-16 12:53:39,так и знал,2024-03-16 14:25:52,,10,92.21666666666668,0,0,1,0,0,0,0,0
194,194,321815.0,2024-03-16 12:53:39,"нееееееет, я не хочу быть помледней",2024-03-16 14:25:55,,35,92.26666666666668,0,0,0,1,0,0,0,0
