,Unnamed: 0.1,Unnamed: 0,ID урока,Дата старта урока,Текст сообщения,Дата сообщения,len_text,Время от начала урока,Вежливость,Технические проблемы,Хорошее объяснение материала,Плохое объяснение материала и сложность,Помощь и понимание,Реклама и спам,Оскорбления и конфликты,Опоздание,Выполнение задания
43,43,43,321813.0,2024-03-02 12:56:26,ща,2024-03-02 13:21:20,2,24.9,1,0,0,0,0,0,0,0,0
44,44,44,321813.0,2024-03-02 12:56:26,где мы его будем делать,2024-03-02 13:22:36,23,26.166666666666668,0,0,0,1,0,0,0,0,0
45,45,45,321813.0,2024-03-02 12:56:26,можно отойти на 2 минутки?,2024-03-02 13:23:56,26,27.5,0,0,0,0,0,0,0,1,0
46,46,46,321813.0,2024-03-02 12:56:26,ладно,2024-03-02 13:24:15,5,27.816666666666663,0,0,1,0,0,0,0,0,0
47,47,47,321813.0,2024-03-02 12:56:26,конкурентов по нашей теме?,2024-03-02 13:25:00,26,28.566666666666663,0,0,0,1,0,0,0,0,0
48,48,48,321813.0,2024-03-02 12:56:26,ок,2024-03-02 13:25:11,2,28.75,0,0,1,0,0,0,0,0,0
49,49,49,321813.0,2024-03-02 12:56:26,я не могу таблицу редактировать,2024-03-02 13:25:52,31,29.433333333333334,0,0,0,1,0,0,0,0,0
50,50,50,321813.0,2024-03-02 12:56:26,у меня меня не нажимается что юы пимсать,2024-03-02 13:26:04,40,29.633333333333333,0,1,0,0,0,0,0,0,0
51,51,51,321813.0,2024-03-02 12:56:26,"все, спасибо",2024-03-02 13:27:19,12,30.883333333333333,0,0,0,0,1,0,0,0,0
52,52,52,321813.0,2024-03-02 12:56:26,а я случайно отравила запрос на редактировпание,2024-03-02 13:27:53,47,31.45,0,0,0,0,1,0,0,0,0
53,53,53,321813.0,2024-03-02 12:56:26,а как скачать,2024-03-02 13:28:53,13,32.45,0,0,1,0,0,0,0,0,0
54,54,54,321813.0,2024-03-02 12:56:26,спасибо,2024-03-02 13:29:33,7,33.11666666666667,0,0,0,0,1,0,0,0,0
55,55,55,321813.0,2024-03-02 12:56:26,да,2024-03-02 13:29:36,2,33.166666666666664,0,0,0,1,0,0,0,0,0
56,56,56,321813.0,2024-03-02 12:56:26,первый готов,2024-03-02 13:39:25,12,42.98333333333333,0,0,0,0,0,0,0,0,1
57,57,57,321813.0,2024-03-02 12:56:26,могу,2024-03-02 13:39:38,4,43.2,0,0,0,1,0,0,0,0,0
58,58,58,321813.0,2024-03-02 12:56:26,нашего,2024-03-02 13:40:23,6,43.95,0,0,0,1,0,0,0,0,0
59,59,59,321813.0,2024-03-02 12:56:26,да,2024-03-02 13:40:33,2,44.11666666666667,0,0,0,1,0,0,0,0,0
60,60,60,321813.0,2024-03-02 12:56:26,а перерыв скоро?,2024-03-02 13:44:02,16,47.6,0,0,0,0,0,0,0,1,0
61,61,61,321813.0,2024-03-02 12:56:26,а что все минусы ставят?,2024-03-02 13:44:27,24,48.016666666666666,0,0,0,1,0,0,0,0,0
62,62,62,321813.0,2024-03-02 12:56:26,заказ еды,2024-03-02 13:51:07,9,54.68333333333333,0,0,1,0,0,0,0,0,0
63,63,63,321813.0,2024-03-02 12:56:26,прослушивание музыки,2024-03-02 13:51:23,20,54.95,0,0,1,0,0,0,0,0,0
64,64,64,321813.0,2024-03-02 12:56:26,"Нина, у нас проэкт такой",2024-03-02 13:51:35,24,55.15,0,0,0,0,0,0,0,0,1
65,65,65,321813.0,2024-03-02 12:56:26,продажа одежды,2024-03-02 13:52:02,14,55.6,0,0,1,0,0,0,0,0,0
66,66,66,321813.0,2024-03-02 12:56:26,не,2024-03-02 13:53:13,2,56.78333333333333,0,0,0,1,0,0,0,0,0
67,67,67,321813.0,2024-03-02 12:56:26,ура,2024-03-02 13:53:26,3,57.0,0,0,0,1,0,0,0,0,0
68,68,68,321813.0,2024-03-02 12:56:26,у нас перерыв до 17?,2024-03-02 13:59:44,20,63.3,0,0,0,0,0,0,0,1,0
69,69,69,321813.0,2024-03-02 12:56:26,gjyznyj,2024-03-02 14:00:40,7,64.23333333333333,0,0,0,1,0,0,0,0,0
70,70,70,321813.0,2024-03-02 12:56:26,понятно,2024-03-02 14:00:42,7,64.26666666666667,0,0,1,0,0,0,0,0,0
71,71,71,321813.0,2024-03-02 12:56:26,МоСКвОй?,2024-03-02 14:02:36,8,66.16666666666667,0,0,0,1,0,0,0,0,0
72,72,72,321813.0,2024-03-02 12:56:26,в фигма сделать эти таблицы?,2024-03-02 14:03:36,28,67.16666666666667,0,0,0,0,0,0,0,0,1
73,73,73,321813.0,2024-03-02 12:56:26,"составлять список функций из таблицы, которую мы делали в начале?",2024-03-02 14:04:42,65,68.26666666666667,0,0,0,0,0,0,0,0,1
74,74,74,321813.0,2024-03-02 12:56:26,а,2024-03-02 14:05:32,1,69.1,0,0,0,0,0,0,0,0,1
75,75,75,321813.0,2024-03-02 12:56:26,нормально,2024-03-02 14:25:43,9,89.28333333333333,0,0,1,0,0,0,0,0,0
76,76,76,321813.0,2024-03-02 12:56:26,"но думаю, что пока этого мало",2024-03-02 14:25:54,29,89.46666666666667,0,0,0,1,0,0,0,0,0
77,77,77,321813.0,2024-03-02 12:56:26,тоже,2024-03-02 14:25:55,4,89.48333333333333,0,0,0,1,0,0,0,0,0
78,78,78,321813.0,2024-03-02 12:56:26,красно желтый,2024-03-02 14:27:20,13,90.9,0,0,0,0,0,0,0,0,1
79,79,79,321813.0,2024-03-02 12:56:26,красный,2024-03-02 14:27:20,7,90.9,0,0,0,0,0,0,1,0,0
80,80,80,321813.0,2024-03-02 12:56:26,красно-желтый,2024-03-02 14:27:24,13,90.96666666666668,0,0,0,1,0,0,0,0,0
81,81,81,321814.0,2024-03-09 12:50:28,Здравия желаю,2024-03-09 12:59:48,13,9.333333333333334,1,0,0,0,0,0,0,0,0
82,82,82,321814.0,2024-03-09 12:50:28,Отставить,2024-03-09 13:00:36,9,10.133333333333333,0,0,0,0,0,0,0,1,0
83,83,83,321814.0,2024-03-09 12:50:28,"Сержант, посему не на учениях?",2024-03-09 13:00:52,30,10.4,0,0,0,0,0,0,0,1,0
84,84,84,321814.0,2024-03-09 12:50:28,"Спал, товарищ лейтенант",2024-03-09 13:01:12,23,10.733333333333333,0,0,0,0,0,1,0,0,0
85,85,85,321814.0,2024-03-09 12:50:28,"Какой я вам лейтинант, ты говоришь с начальником роты",2024-03-09 13:01:48,53,11.333333333333334,0,0,0,1,0,0,0,0,0
86,86,86,321814.0,2024-03-09 12:50:28,Марш на учения,2024-03-09 13:02:11,14,11.716666666666669,0,0,0,0,0,0,0,0,1
87,87,87,321814.0,2024-03-09 12:50:28,"извиняюсь, начальник роты",2024-03-09 13:02:14,25,11.766666666666667,1,0,0,0,0,0,0,0,0
88,88,88,321814.0,2024-03-09 12:50:28,стартую,2024-03-09 13:02:21,7,11.883333333333333,0,0,0,1,0,0,0,0,0
89,89,89,321814.0,2024-03-09 12:50:28,Тотоже,2024-03-09 13:02:26,6,11.966666666666669,0,0,0,1,0,0,0,0,0
90,90,90,321814.0,2024-03-09 12:50:28,хахаха,2024-03-09 13:02:40,6,12.2,0,0,0,0,0,0,0,0,1
91,91,91,321814.0,2024-03-09 12:50:28,нормально так-то,2024-03-09 13:02:48,16,12.333333333333334,0,0,1,0,0,0,0,0,0
92,92,92,321814.0,2024-03-09 12:50:28,а где все остальные?,2024-03-09 13:02:52,20,12.4,0,0,0,1,0,0,0,0,0
93,93,93,321814.0,2024-03-09 12:50:28,неизвестно,2024-03-09 13:03:00,10,12.533333333333331,0,0,0,1,0,0,0,0,0
94,94,94,321814.0,2024-03-09 12:50:28,ну 2-их не будет,2024-03-09 13:03:07,16,12.65,0,0,0,0,0,0,0,0,1
95,95,95,321814.0,2024-03-09 12:50:28,"нам не хватает товарища лейтенанта, прапорщика,",2024-03-09 13:03:10,47,12.7,0,0,0,0,0,0,0,1,0
96,96,96,321814.0,2024-03-09 12:50:28,товарища копа,2024-03-09 13:03:21,13,12.883333333333333,0,0,0,0,0,0,0,1,0
97,97,97,321814.0,2024-03-09 12:50:28,окопа?,2024-03-09 13:04:04,6,13.6,0,0,0,1,0,0,0,0,0
98,98,98,321814.0,2024-03-09 12:50:28,коп,2024-03-09 13:04:31,3,14.05,1,0,0,0,0,0,0,0,0
99,99,99,321814.0,2024-03-09 12:50:28,мент,2024-03-09 13:04:33,4,14.083333333333334,0,0,0,0,0,0,1,0,0
